,RUNDATE,FY,FM,DOCID,CHKSUBTOT,VCODE,VENDOR,ZIP5,FTYP,FUNDTYPE,DPT,DEPARTMENT,ACTV,ACTIVITY,OGRP,OBJECTGROUP,OBJ,OBJECT,COMM,COMMODITYDSCR,INVOICEDATE,INVOICENUMBER
61210,2024-04-19,2024,7,EFT-BMS-EY240045535,787213.5,VS0000016417,"Muniz Construction, Inc. ^",75253,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4550,Waterworks Mains,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
61304,2024-04-19,2024,7,EFT-BMS-EY240045618,442587.76,266895,Pencco Inc,77473,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW01,Water Treatment,QM,Supplies & Materials,2200,Chemical Medical Surgical,89079.0,WATER AND WASTEWATER DISINFECTING OZONATORS,,
61652,2024-04-22,2024,7,EFT-BMS-EY240045852,699286.0,266605,Microsoft Corporation,75284,INSV,Internal Service Fund,DSV,Communication & Info Svcs,IS20,Internal Desktop Support,QV,Contractual & Other Services,3110,Repair&Maint Serv Equip,92045.0,SOFTWARE MAINTENANCE/SUPPORT,,
61914,2024-04-23,2024,7,EFT-BMS-EY240046016,406127.18,VC14110,Ragle Inc,76180,BP12,2012 General Obligation Bond Program,SDM,Stormwater Drainage Management,SDRS,Storm Drainage Relief System,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
61921,2024-04-23,2024,7,EFT-BMS-EY240046019,961531.76,VC22277,"Western Municipal Construction Of Texas, Llc",76247,CVID,COVID-19,DWU,Water Utilities,DW01,Water Treatment,RC,Capital Outlay,4560,Sanitary Sewers,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
62071,2024-04-23,2024,7,EFT-BMS-EY240046145,457362.0,518741,Houston Freightliner Inc.,77029,OTDB,Other GO CIP  - Debt,EFM,Equipment & Fleet Management,FLTR,Fleet Replacement,RC,Capital Outlay,4740,Motor Vehicles Cap,97514.0,AUTOMOBILES AND OTHER PASSENGER VEHICLES (INCLUDING EMERGENC,,
62225,2024-04-23,2024,7,EFT-BMS-EY240046261,358468.23,VS89922,"Vescorp Construction, Llc",75180,OTDB,Other GO CIP  - Debt,PBW,Public Works & Transporation,INFU,Infrastructure Fund,RC,Capital Outlay,4530,Sidewlks Curbs Steps Gutr,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
62308,2024-04-24,2024,7,EFT-BMS-EY240046282,360251.57,507202,"Syb Construction Co., Inc. ^",75061,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4560,Sanitary Sewers,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
62309,2024-04-24,2024,7,EFT-BMS-EY240046282,445700.79,507202,"Syb Construction Co., Inc. ^",75061,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4550,Waterworks Mains,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
62318,2024-04-24,2024,7,EFT-BMS-EY240046286,398535.97,VC21437,Douglas Dailey Construction Llc,75125,SWRC,Sewer Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4560,Sanitary Sewers,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
62382,2024-04-24,2024,7,EFT-BMS-EY240046340,409828.0,050249,Consolidated Traffic Controls Inc,76001,CVID,COVID-19,TRN,Transportation,TR05,Traffic Signal Design & Construction,RC,Capital Outlay,4820,Signal System,55088.0,"TRAFFIC SIGNALS AND EQUIPMENT, ELECTRIC SYSTEMS",,
62533,2024-04-24,2024,7,EFT-BMS-EY240046461,366037.0,VC29235,"Chastang Enterprises - Houston, Llc",77226,OTDB,Other GO CIP  - Debt,SAN,Sanitation Svcs,FLTR,San- Fleet Replacement,RC,Capital Outlay,4740,Motor Vehicles Cap,97514.0,AUTOMOBILES AND OTHER PASSENGER VEHICLES (INCLUDING EMERGENC,,
62639,2024-04-25,2024,7,AD-BMS-AY240012664,1057571.19,VS0000082137,"Landmark Structures I, L.P.",76177,WTRC,Water Capital Program,DWU,Water Utilities,REEQ,Rehabilitation And Equipment,RC,Capital Outlay,4720,Mach Tools Implem  Major,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
62664,2024-04-25,2024,7,EFT-BMS-EY240046530,1979472.5,125824,Bar Constructors Inc ^,75146,SWRC,Sewer Capital Program,DWU,Water Utilities,WWTP,Wastewater Treatment Plants And Associated Facilities,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
62665,2024-04-25,2024,7,EFT-BMS-EY240046531,2255487.06,243551,Rebcon Llc,76011,WTRC,Water Capital Program,DWU,Water Utilities,WTRS,Water Supply Reservoirs And Dams,RC,Capital Outlay,4320,Filtration Plants,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
62670,2024-04-25,2024,7,EFT-BMS-EY240046535,875695.29,356959,Eagle Contracting Llc,76244,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4310,Buildings,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
62675,2024-04-25,2024,7,EFT-BMS-EY240046540,1781815.76,VS0000064407,"Archer Western Construction, Llc",75038,WTRC,Water Capital Program,DWU,Water Utilities,RWPT,Raw Water Pumping And Transmission,RC,Capital Outlay,4320,Filtration Plants,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
62676,2024-04-25,2024,7,EFT-BMS-EY240046541,1101088.27,VS0000064407,"Archer Western Construction, Llc",75038,SWRC,Sewer Capital Program,DWU,Water Utilities,WWTP,Wastewater Treatment Plants And Associated Facilities,RC,Capital Outlay,4730,Inst Apparatus Major,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
62950,2024-04-25,2024,7,EFT-BMS-EY240046714,762154.06,VS0000004959,Dallas Center For The Performing Arts Foundation Inc,75201,GNFD,General Fund,OCA,Office Of Cultural Affairs,CULF,Cultural Facilities,QV,Contractual & Other Services,3099,Misc Special Services,95815.0,BUILDING AND FACILITIES MANAGEMENT SERVICES,,
63058,2024-04-26,2024,7,EFT-BMS-EY240046746,368456.51,VS0000016417,"Muniz Construction, Inc. ^",75253,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4550,Waterworks Mains,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
63204,2024-04-26,2024,7,EFT-BMS-EY240046850,437500.0,VC19221,Fair Park First,75210,OTGO,Other GO CIP - Non-Debt,PKR,Park & Recreation,PK16,Dallas Zoo and Aquarium,QV,Contractual & Other Services,3899,Other Misc.Exp. & Reimbursement,,NONE,,
63250,2024-04-26,2024,7,EFT-BMS-EY240046882,366037.0,VC29235,"Chastang Enterprises - Houston, Llc",77226,OTDB,Other GO CIP  - Debt,SAN,Sanitation Svcs,FLTR,San- Fleet Replacement,RC,Capital Outlay,4740,Motor Vehicles Cap,97514.0,AUTOMOBILES AND OTHER PASSENGER VEHICLES (INCLUDING EMERGENC,,
63278,2024-04-26,2024,7,EFT-BMS-EY240046906,375000.0,VS0000056486,Carbon Activated Corporation,77011,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW04,Wastewater Treatment,QM,Supplies & Materials,2200,Chemical Medical Surgical,88500.0,WATER AND WASTEWATER TREATING CHEMICALS,,
63366,2024-04-29,2024,7,AD-BMS-AY240012802,1205751.46,VC18446,Independence Title Company,75208,BP17,2017 General Obligation Bond Program,PBW,Public Works & Transporation,GTWY,GATEWAY,RC,Capital Outlay,4210,Property Purchase Price,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
63368,2024-04-29,2024,7,AD-BMS-AY240012804,403472.0,014003,Dallas County,75202,GNFD,General Fund,DPD,Dallas Police Dept,DP02,Police Investigation Of Crimes Against Persons,QV,Contractual & Other Services,3040,Medical & Laboratory Serv,96140.0,FORENSIC SERVICES,,
63400,2024-04-29,2024,7,EFT-BMS-EY240046945,506253.7,125824,Bar Constructors Inc ^,75146,SWRC,Sewer Capital Program,DWU,Water Utilities,WWTP,Wastewater Treatment Plants And Associated Facilities,RC,Capital Outlay,4330,Sewage Disposal Plants,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
63490,2024-04-29,2024,7,EFT-BMS-EY240047010,315983.79,340792,"Renda Environmental, Inc.",76262,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW01,Water Treatment,QV,Contractual & Other Services,3072,Contractor Service Fees,92694.0,WATER POLLUTION SERVICES,,
63755,2024-04-30,2024,7,AD-BMS-AY240012866,358426.0,014003,Dallas County,75202,GNFD,General Fund,DPD,Dallas Police Dept,DP02,Police Investigation Of Crimes Against Persons,QV,Contractual & Other Services,3040,Medical & Laboratory Serv,96140.0,FORENSIC SERVICES,,
63804,2024-04-30,2024,7,EFT-BMS-EY240047204,524449.66,VS90299,Southland Mole Jv,76262,BP12,2012 General Obligation Bond Program,TWM,Trinity Watershed Management,SDRS,Storm Drainage Relief System,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
63827,2024-04-30,2024,7,EFT-BMS-EY240047221,9749582.46,004204,"Texas Materials Group, Inc.",75062,OTDB,Other GO CIP  - Debt,PBW,Public Works & Transporation,PB51,Street Maintenance Contracts,QV,Contractual & Other Services,3072,Contractor Service Fees,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
64134,2024-05-01,2024,8,EFT-BMS-EY240047412,1386249.9,356959,Eagle Contracting Llc,76244,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4310,Buildings,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
64139,2024-05-01,2024,8,EFT-BMS-EY240047417,589806.82,VS0000016343,"Garver, Llc",75034,WTRC,Water Capital Program,DWU,Water Utilities,MJMR,Major Maintenance & Rehabilitation,RC,Capital Outlay,4111,Engineering Design,92500.0,"ENGINEERING SERVICES, PROFESSIONAL",,
64145,2024-05-01,2024,8,EFT-BMS-EY240047423,940468.07,VS0000064407,"Archer Western Construction, Llc",75038,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4310,Buildings,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
64345,2024-05-01,2024,8,EFT-BMS-EY240047579,643051.43,VS0000064407,"Archer Western Construction, Llc",75038,WTRC,Water Capital Program,DWU,Water Utilities,WTPF,Water Treatment Plants And Associated Facilities,RC,Capital Outlay,4320,Filtration Plants,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
64449,2024-05-02,2024,8,EFT-BMS-EY240047641,541498.71,VS0000036279,"Austin Filter Systems, Inc.",78641,OTGO,Other GO CIP - Non-Debt,SDM,Stormwater Drainage Management,ERCT,Erosion Control,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
64450,2024-05-02,2024,8,EFT-BMS-EY240047641,391035.27,VS0000036279,"Austin Filter Systems, Inc.",78641,BP17,2017 General Obligation Bond Program,SDM,Stormwater Drainage Management,ERCT,Erosion Control,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
64528,2024-05-02,2024,8,EFT-BMS-EY240047705,610518.68,230445,Gibson & Assoc Inc,75180,EFOP,Enterprise Operating Fund,AVI,Aviation,AV09,Dallas Executive Airport,QV,Contractual & Other Services,3210,Repair&Maint Ser Bldg Etc,91364.0,"MAINTENANCE AND REPAIR: AIRPORT ROADWAY, RUNWAY AND TAXIWAY",,
65048,2024-05-06,2024,8,AD-BMS-AY240013114,2117353.32,001003,International Business Machines Corporation,92821,INSV,Internal Service Fund,DSV,Communication & Info Svcs,IS21,Internal Application Services,QV,Contractual & Other Services,3440,IT Cloud Services,95635.0,INTERNET DATABASE SUBSCRIPTIONS,,
65342,2024-05-06,2024,8,EFT-BMS-EY240048255,467101.6,VS97675,Ddm Construction Corporation,75001,BP17,2017 General Obligation Bond Program,PBW,Public Works & Transporation,SREC,Street Reconstruction,RC,Capital Outlay,4510,Strts Roadwys Hiwy Alleys,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
65432,2024-05-07,2024,8,EFT-BMS-EY240048303,728653.0,068563,Trinity River Authority Of Tx,76004,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW04,Wastewater Treatment,QV,Contractual & Other Services,3083,Ww Treatment- Tra,,NONE,,
65507,2024-05-07,2024,8,EFT-BMS-EY240048354,1486221.43,517440,Axon Enterprise Inc.,85255,OTDB,Other GO CIP  - Debt,DSV,Communication & Info Svcs,TECH,Technology,QM,Supplies & Materials,2760,Radio & Communication Eqp,72500.0,"RADIO COMMUNICATION, TELEPHONE, AND TELECOMMUNICATION EQUIPM",,
65512,2024-05-07,2024,8,EFT-BMS-EY240048358,2499991.34,VC0000002996,The Housing Authority Of The City Of Dallas,75356,CVID,COVID-19,MGT,Management Services,EH54,Comprehensive Homeless Outreach,QV,Contractual & Other Services,3070,Professional Services,95255.0,HOMELESSNESS PREVENTION SERVICES,,
65653,2024-05-07,2024,8,EFT-BMS-EY240048464,365925.65,VS97685,"All City Management Services, Inc.",90084,GNFD,General Fund,MSH,City Marshal's Office,3065,Security Services,QV,Contractual & Other Services,3070,Professional Services,92471.0,SCHOOL OPERATION AND MANAGEMENT SERVICES,,
65772,2024-05-08,2024,8,EFT-BMS-EY240048531,709196.54,VS100981,"Crescent Constructors, Inc.",75074,SWRC,Sewer Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4330,Sewage Disposal Plants,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
65963,2024-05-08,2024,8,EFT-BMS-EY240048678,1617108.67,VS0000006690,Delta Dental Insurance Company,94120,INSV,Internal Service Fund,PER,Human Resources,BE15,"Fiscal Management And Administration:  Voluntary Benefits, L",QV,Contractual & Other Services,355C,Voluntary Pmts Employee Dental,,NONE,,
66152,2024-05-09,2024,8,EFT-BMS-EY240048743,4121600.0,VC22876,Kay Bailey Hutchison Convention Center,75202,EFOP,Enterprise Operating Fund,CCT,Convention And Event Services,CE01,Dallas Convention Center,QV,Contractual & Other Services,3072,Contractor Service Fees,,NONE,,
66624,2024-05-10,2024,8,EFT-BMS-EY240049094,336184.12,349633,Texas Commission On Environmental Quality,78711,EFOP,Enterprise Operating Fund,SAN,Sanitation Svcs,SS03,Landfill Management,QV,Contractual & Other Services,3460,Disposal Services,,NONE,,
66642,2024-05-10,2024,8,EFT-BMS-EY240049109,3080024.17,519397,"Overland Partners, Inc.",78215,OTPK,Other Park Recreation,PKR,Park & Recreation,FPRK,Fair Park Development,RC,Capital Outlay,4112,Architectural Design,92500.0,"ENGINEERING SERVICES, PROFESSIONAL",,
66688,2024-05-10,2024,8,EFT-BMS-EY240049144,2222860.63,VC24588,"Roeschco Construction, Llc",75033,AVIC,Aviation Capital Program,AVI,Aviation,AAIP,Airport Improvements,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
67034,2024-05-13,2024,8,EFT-BMS-EY240049380,567952.21,VS0000006690,Delta Dental Insurance Company,94120,INSV,Internal Service Fund,PER,Human Resources,BE15,"Fiscal Management And Administration:  Voluntary Benefits, L",QV,Contractual & Other Services,355C,Voluntary Pmts Employee Dental,,NONE,,
67043,2024-05-13,2024,8,EFT-BMS-EY240049385,827108.55,VS0000024410,Standard Insurance Company,97208,INSV,Internal Service Fund,PER,Human Resources,BE15,"Fiscal Management And Administration:  Voluntary Benefits, L",QV,Contractual & Other Services,3552,"Pymts To Voluntary Benefits, dental, Vision Service Plan",,NONE,,
67168,2024-05-14,2024,8,AD-BMS-AY240013851,1099825.69,VS0000076529,"Dikita Enterprises, Inc.",75202,CCTC,Convention Center Capital Program,CCT,Convention And Event Services,CCIM,Convention Center Improvements,QV,Contractual & Other Services,3070,Professional Services,95877.0,PROJECT MANAGEMENT SERVICES,,
67174,2024-05-14,2024,8,EFT-BMS-EY240049429,488956.44,VC28405,Estrada Concrete Company Llc,75141,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4550,Waterworks Mains,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
67283,2024-05-14,2024,8,EFT-BMS-EY240049517,651813.7,506724,Holt Texas Ltd,75265,EFOP,Enterprise Operating Fund,SAN,Sanitation Svcs,SS03,Landfill Management,QV,Contractual & Other Services,3899,Other Misc.Exp. & Reimbursement,6000.0,AUTOMOTIVE AND TRAILER MAINTENANCE ITEMS AND REPAIR/REPLACEM,,
67430,2024-05-14,2024,8,EFT-BMS-EY240049623,507283.0,VS0000067075,Bridge Steps,75201,GNFD,General Fund,MGT,Management Services,EH54,Comprehensive Homeless Outreach,QV,Contractual & Other Services,3070,Professional Services,95255.0,HOMELESSNESS PREVENTION SERVICES,,
67489,2024-05-15,2024,8,AD-BMS-AY240013858,1500000.0,MVORM001,"Vicki Timpa And Henley & Henley, P.C.",,OTHO,Other Operating Fund,ORM,Risk Management,RM01,Risk Management Services,QV,Contractual & Other Services,3521,Judgements & Damages,,NONE,,
67518,2024-05-15,2024,8,EFT-BMS-EY240049656,1176489.17,144735,"Camino Construction, L.P. ^",75057,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4550,Waterworks Mains,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
67538,2024-05-15,2024,8,EFT-BMS-EY240049670,677253.36,VS0000064407,"Archer Western Construction, Llc",75038,SWRC,Sewer Capital Program,DWU,Water Utilities,WWTP,Wastewater Treatment Plants And Associated Facilities,RC,Capital Outlay,4730,Inst Apparatus Major,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
67547,2024-05-15,2024,8,EFT-BMS-EY240049678,1163670.2,VS0000082137,"Landmark Structures I, L.P.",76177,WTRC,Water Capital Program,DWU,Water Utilities,REEQ,Rehabilitation And Equipment,RC,Capital Outlay,4720,Mach Tools Implem  Major,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
67632,2024-05-15,2024,8,EFT-BMS-EY240049721,1202002.63,345379,Omega Contracting Llc,75212,WTRC,Water Capital Program,DWU,Water Utilities,REEQ,Rehabilitation And Equipment,QV,Contractual & Other Services,3210,Repair&Maint Ser Bldg Etc,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
67754,2024-05-15,2024,8,EFT-BMS-EY240049817,451133.19,VS0000024410,Standard Insurance Company,97208,INSV,Internal Service Fund,PER,Human Resources,BE15,"Fiscal Management And Administration:  Voluntary Benefits, L",QV,Contractual & Other Services,3552,"Pymts To Voluntary Benefits, dental, Vision Service Plan",,NONE,,
67831,2024-05-15,2024,8,EFT-BMS-EY240049862,1166000.0,265847,Esri Inc,90074,INSV,Internal Service Fund,DSV,Communication & Info Svcs,IS18,Internal Technology Architecture Planning,QV,Contractual & Other Services,3438,Software Maint Fee,92045.0,SOFTWARE MAINTENANCE/SUPPORT,,
67888,2024-05-16,2024,8,EFT-BMS-EY240049871,486557.88,507202,"Syb Construction Co., Inc. ^",75061,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4550,Waterworks Mains,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
67983,2024-05-16,2024,8,EFT-BMS-EY240049962,724223.44,011466,Tiseo Paving Co,75150,BP17,2017 General Obligation Bond Program,PBW,Public Works & Transporation,THRF,Thoroughfares,RC,Capital Outlay,4510,Strts Roadwys Hiwy Alleys,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
68071,2024-05-16,2024,8,EFT-BMS-EY240050015,838671.67,970352,Sabine River Authority Of Tx,75472,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW01,Water Treatment,QM,Supplies & Materials,2420,Other Structures,,NONE,,
68136,2024-05-16,2024,8,EFT-BMS-EY240050063,878168.45,VC28897,Sabine River Authority Of Texas,77632,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW01,Water Treatment,QM,Supplies & Materials,2420,Other Structures,,NONE,,
68137,2024-05-16,2024,8,EFT-BMS-EY240050064,432019.69,VC28899,Sabine River Authority Of Texas,77632,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW01,Water Treatment,QM,Supplies & Materials,2420,Other Structures,,NONE,,
68265,2024-05-17,2024,8,AD-BMS-AY240013985,366550.0,014003,Dallas County,75202,GNFD,General Fund,DPD,Dallas Police Dept,DP02,Police Investigation Of Crimes Against Persons,QV,Contractual & Other Services,3040,Medical & Laboratory Serv,96140.0,FORENSIC SERVICES,,
68406,2024-05-17,2024,8,EFT-BMS-EY240050209,1827354.26,519741,The Dallas Convention & Visitors Bureau,75201,EFOP,Enterprise Operating Fund,CCT,Convention And Event Services,CE01,Dallas Convention Center,QV,Contractual & Other Services,3320,Advertising,,NONE,,
68605,2024-05-20,2024,8,AD-BMS-AY240014047,3853061.77,VS0000075891,"Kantex Industries, Inc",66061,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4550,Waterworks Mains,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
68757,2024-05-20,2024,8,EFT-BMS-EY240050422,525957.19,517577,Housing Forward,75204,CVID,COVID-19,MGT,Management Services,EH54,Comprehensive Homeless Outreach,QV,Contractual & Other Services,3070,Professional Services,95255.0,HOMELESSNESS PREVENTION SERVICES,,
68787,2024-05-20,2024,8,EFT-BMS-EY240050449,429365.48,VC22918,Dallas Convention Center Hotel Development Corporation,75202,EFOP,Enterprise Operating Fund,CCT,Convention And Event Services,CE01,Dallas Convention Center,QV,Contractual & Other Services,3019,Section 380 Grant Expense,,NONE,,
68931,2024-05-21,2024,8,AD-BMS-AY240014112,820977.65,268653,At&T Corp,60197,INSV,Internal Service Fund,DSV,Communication & Info Svcs,IS05,Internal Voice And Data Communication Network,QV,Contractual & Other Services,3053,Data Circuit Billing,91577.0,"TELEPHONE SERVICES, LONG DISTANCE AND LOCAL (INCLUDING TELEX",,
68932,2024-05-21,2024,8,AD-BMS-AY240014112,587253.34,268653,At&T Corp,60197,INSV,Internal Service Fund,DSV,Communication & Info Svcs,IS05,Internal Voice And Data Communication Network,QV,Contractual & Other Services,3441,IT Managed Services,91800.0,CONSULTING SERVICES,,
69169,2024-05-21,2024,8,EFT-BMS-EY240050694,351500.0,VS98529,Joel Brown & Co. Llc,75204,BP17,2017 General Obligation Bond Program,PKR,Park & Recreation,RFSI,Recreation Facilities Site Improvement,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
69203,2024-05-22,2024,8,AD-BMS-AY240014208,973008.07,VC29970,"Je Dunn-Russell, A Joint Venture",75254,OTPK,Other Park Recreation,PKR,Park & Recreation,FPRK,Fair Park Development,RC,Capital Outlay,4310,Buildings,95826.0,CONSTRUCTION MANAGEMENT SERVICES,,
69204,2024-05-22,2024,8,AD-BMS-AY240014208,1422249.06,VC29970,"Je Dunn-Russell, A Joint Venture",75254,OTDB,Other GO CIP  - Debt,PKR,Park & Recreation,FPRK,Fair Park Development,RC,Capital Outlay,4310,Buildings,95826.0,CONSTRUCTION MANAGEMENT SERVICES,,
69213,2024-05-22,2024,8,EFT-BMS-EY240050712,1575867.53,VS100981,"Crescent Constructors, Inc.",75074,SWRC,Sewer Capital Program,DWU,Water Utilities,WWTP,Wastewater Treatment Plants And Associated Facilities,RC,Capital Outlay,4330,Sewage Disposal Plants,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
69280,2024-05-22,2024,8,EFT-BMS-EY240050763,358841.67,516612,Deloitte Consulting Llp,22209,INSV,Internal Service Fund,DSV,Communication & Info Svcs,IS21,Internal Application Services,QV,Contractual & Other Services,3441,IT Managed Services,91800.0,CONSULTING SERVICES,,
69326,2024-05-22,2024,8,EFT-BMS-EY240050798,1548935.0,VC28399,"Mcgriff Insurance Services, Llc",28202,INSV,Internal Service Fund,ORM,Risk Management,RM01,Risk Management Services,QV,Contractual & Other Services,3310,Insurance,95861.0,INSURANCE AND RISK MANAGEMENT SERVICES,,
69379,2024-05-22,2024,8,EFT-BMS-EY240050835,408230.0,VS90252,"Siddons Martin Emergency Group, Llc",77032,OTDB,Other GO CIP  - Debt,DFD,Dallas Fire Department,DF08,Fire And Rescue Equipment Maintenance,RC,Capital Outlay,4740,Motor Vehicles Cap,7003.0,AMBULANCES AND RESCUE VEHICLES,,
69407,2024-05-22,2024,8,EFT-BMS-EY240050844,376841.64,VS96112,"Flatiron Constructors, Inc.",75038,AVIC,Aviation Capital Program,AVI,Aviation,PVMT,Pavement Maintenance / Construction,RC,Capital Outlay,4599,Other Improvements-other than Building,92500.0,"ENGINEERING SERVICES, PROFESSIONAL",,
69845,2024-05-23,2024,8,EFT-BMS-EY240051116,534707.5,VS0000041871,"Proforce Marketing, Inc",86301,GNFD,General Fund,INV,Inventory Purchase,INV1,Inventory,QM,Supplies & Materials,2998,Inventory Purchase,68004.0,AMMUNITION,,
69883,2024-05-23,2024,8,EFT-BMS-EY240051142,342191.98,VS89922,"Vescorp Construction, Llc",75180,OTDB,Other GO CIP  - Debt,PBW,Public Works & Transporation,INFU,Infrastructure Fund,RC,Capital Outlay,4530,Sidewlks Curbs Steps Gutr,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
69884,2024-05-23,2024,8,EFT-BMS-EY240051143,408230.0,VS90252,"Siddons Martin Emergency Group, Llc",77032,OTDB,Other GO CIP  - Debt,DFD,Dallas Fire Department,DF08,Fire And Rescue Equipment Maintenance,RC,Capital Outlay,4740,Motor Vehicles Cap,7003.0,AMBULANCES AND RESCUE VEHICLES,,
70014,2024-05-24,2024,8,EFT-BMS-EY240051215,10257932.32,004204,"Texas Materials Group, Inc.",75062,OTDB,Other GO CIP  - Debt,PBW,Public Works & Transporation,PB51,Street Maintenance Contracts,QV,Contractual & Other Services,3072,Contractor Service Fees,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
70071,2024-05-24,2024,8,EFT-BMS-EY240051251,7956344.71,517440,Axon Enterprise Inc.,85255,GNFD,General Fund,DPD,Dallas Police Dept,DP30,Police Technology And Technical Support,QV,Contractual & Other Services,3437,Continual Software Lic Fee,20800.0,COMPUTER SOFTWARE FOR MICROCOMPUTERS (PREPROGRAMMED),,
70509,2024-05-29,2024,8,EFT-BMS-EY240051559,534948.83,VC26041,"Tegrity Contractors, Inc.",75013,WTRC,Water Capital Program,DWU,Water Utilities,SCOR,"Service Centers, Offices And Research Facilities",RC,Capital Outlay,4310,Buildings,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
70546,2024-05-29,2024,8,EFT-BMS-EY240051595,550000.0,VS87197,Town Square Title Company Llc,75088,BP98,1998 General Obligation Bond Program,SDM,Stormwater Drainage Management,TRPP,Relocation Prop,RC,Capital Outlay,4210,Property Purchase Price,94615.0,"APPRAISAL SERVICES, REAL ESTATE",,
70564,2024-05-29,2024,8,EFT-BMS-EY240051613,728653.0,068563,Trinity River Authority Of Tx,76004,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW04,Wastewater Treatment,QV,Contractual & Other Services,3083,Ww Treatment- Tra,,NONE,,
